position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw,prox_rgh,scrambling,great_shots,poor_shots,sg_bs,year
1,"Smith, Cameron",-20,-8.0,2.819,0.548,0.507,0.484,1.54,4.359,303.125,0.671875,0.875,32.055509756097564,48.29348125,0.7222216666666667,4.5,2.75,0.991,2022
2,"Young, Cameron",-19,-7.0,1.005,0.804,0.971,1.329,3.104,4.109,321.775,0.640625,0.8333325,33.32167142857143,50.76854210526315,0.6190476190476191,5.5,3.5,2.3,2022
3,"McIlroy, Rory",-18,-2.0,0.714,0.711,0.479,1.954,3.145,3.859,324.35,0.640625,0.9027775,33.89169722222222,46.215945,0.52941,4.25,2.25,2.434,2022
T4,"Fleetwood, Tommy",-14,-5.0,1.356,0.543,1.002,-0.042,1.503,2.859,314.075,0.59375,0.8333349999999999,36.2173,53.25941052631579,0.5909095454545454,4.75,4.0,0.961,2022
T4,"Hovland, Viktor",-14,2.0,1.004,1.017,0.528,0.31,1.855,2.859,309.575,0.625,0.8194425000000001,39.44119743589744,46.27010555555555,0.6086969565217392,4.5,2.75,0.838,2022
T6,"Johnson, Dustin",-13,-3.0,1.04,0.163,0.643,0.762,1.569,2.609,314.3,0.640625,0.8333325,34.95462142857143,55.94145294117647,0.5199996,6.75,2.75,1.406,2022
T6,"Harman, Brian",-13,-6.0,2.174,0.09,-0.103,0.447,0.434,2.609,302.35,0.71875,0.8055574999999999,31.090184444444446,48.46483076923077,0.5909086363636363,5.0,3.75,0.344,2022
T8,"DeChambeau, Bryson",-12,-6.0,-0.63,0.571,1.134,1.284,2.989,2.359,303.725,0.75,0.916665,30.965502127659573,70.07062222222223,0.5263157894736842,5.5,4.0,2.418,2022
T8,"Spieth, Jordan",-12,-4.0,0.235,0.455,1.229,0.44,2.124,2.359,306.45000000000005,0.640625,0.8333325,33.69898157894737,50.42813333333333,0.5000004166666667,4.5,5.25,1.669,2022
T8,"Cantlay, Patrick",-12,-4.0,1.655,0.698,0.208,-0.202,0.703,2.359,300.8,0.625,0.86111,36.118612500000005,64.05178421052631,0.62500125,4.25,3.75,0.006,2022
T11,"Ancer, Abraham",-11,-7.0,0.092,0.259,-0.129,1.887,2.017,2.109,315.875,0.765625,0.86111,30.57632444444444,66.16729090909091,0.4400012,5.5,3.0,1.758,2022
T11,"Hatton, Tyrrell",-11,-4.0,0.23,1.082,0.243,0.554,1.879,2.109,309.475,0.6875,0.8055574999999999,37.03565,56.86012857142857,0.7142861904761904,5.75,3.25,0.797,2022
T11,"Burmester, Dean",-11,-6.0,0.016,1.616,0.675,-0.198,2.093,2.109,312.275,0.5625,0.7777799999999999,25.676435135135137,47.737405,0.52381,5.25,5.0,0.477,2022
T11,"Kaewkanjana, Sadom",-11,-7.0,2.602,-0.633,0.013,0.127,-0.493,2.109,297.825,0.6875,0.8194425000000001,39.14045609756098,43.70541764705882,0.62499875,5.75,4.5,0.14,2022
