position,player_name,total_score,r4_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,distance,accuracy,gir,prox_fw,prox_rgh,scrambling,great_shots,poor_shots,sg_bs,year
1,"Matsuyama, Hideki",-10,1.0,0.226,1.401,1.5,0.35,3.251,3.477,297.125,0.6428575,0.694445,32.93322115384615,69.0429,0.6774187096774194,5.25,3.5,1.85,2021
2,"Zalatoris, Will",-9,-2.0,1.216,0.067,0.968,0.976,2.011,3.227,305.125,0.69643,0.7361125000000001,38.172396078431376,62.320616666666666,0.566667,4.75,3.25,1.943,2021
T3,"Schauffele, Xander",-7,0.0,-0.267,1.512,0.651,0.831,2.994,2.727,312.925,0.7321425,0.7083325,30.922512727272725,60.87375555555555,0.6333313333333334,5.25,5.25,1.482,2021
T3,"Spieth, Jordan",-7,-2.0,-0.876,1.699,1.119,0.785,3.603,2.727,303.25,0.7499975,0.77778,31.89460357142857,76.63392,0.5172413793103448,3.75,3.25,1.903,2021
T5,"Rahm, Jon",-6,-6.0,0.084,0.884,-0.197,1.705,2.393,2.477,310.175,0.75,0.6944425000000001,33.03235344827586,53.10090714285714,0.7142875,3.75,3.75,1.509,2021
T5,"Leishman, Marc",-6,1.0,0.435,1.029,1.466,-0.453,2.042,2.477,295.54999999999995,0.5178575,0.6388875,30.796772222222224,55.71112666666667,0.6333336666666667,2.25,2.0,1.013,2021
7,"Rose, Justin",-5,2.0,1.511,0.258,0.642,-0.184,0.716,2.227,290.45,0.6607149999999999,0.6944425,40.692089090909086,73.97987142857143,0.5714289285714286,4.5,4.25,0.458,2021
T8,"Conners, Corey",-4,2.0,-0.184,-0.533,2.307,0.386,2.161,1.977,293.4,0.7857149999999999,0.7222225,32.33991694915254,36.19258333333333,0.4444448148148148,3.75,4.5,2.694,2021
T8,"Reed, Patrick",-4,-3.0,1.68,0.129,0.392,-0.224,0.297,1.977,294.76666666666665,0.6607149999999999,0.52778,32.70681176470588,90.76920909090909,0.6136343181818182,3.5,3.5,0.169,2021
T10,"Smith, Cameron",-3,-2.0,-0.171,0.912,0.652,0.335,1.898,1.727,296.85,0.6785725,0.7083325,38.3174,72.64264285714285,0.6551717241379311,3.75,3.0,0.987,2021
T10,"Finau, Tony",-3,0.0,-0.184,1.595,0.913,-0.596,1.911,1.727,305.225,0.55357,0.51389,29.76183725490196,55.1848,0.6666683333333333,3.25,4.25,0.317,2021
T12,"Simpson, Webb",-2,-2.0,1.184,0.122,0.956,-0.786,0.293,1.477,287.26666666666665,0.69643,0.625,34.58824705882353,48.11590833333334,0.6756751351351351,5.0,3.75,0.17,2021
T12,"Cink, Stewart",-2,-1.0,0.798,0.163,0.729,-0.213,0.679,1.477,302.325,0.5892850000000001,0.63889,37.773909090909086,84.35223125,0.6129048387096774,3.0,4.0,0.516,2021
T12,"Harman, Brian",-2,2.0,0.756,-0.228,0.602,0.347,0.721,1.477,292.975,0.6785725,0.680555,34.76396153846154,68.29948571428571,0.5675675675675675,2.75,3.0,0.949,2021
T12,"Kim, Si Woo",-2,0.0,0.155,-0.46,2.14,-0.358,1.322,1.477,291.5,0.7142850000000001,0.6249975,28.30388,48.332460000000005,0.5882338235294118,4.25,3.25,1.782,2021
T12,"Na, Kevin",-2,-1.0,1.802,0.122,-0.58,0.133,-0.325,1.477,290.55,0.7499975,0.569445,42.87947368421053,84.38973636363636,0.6976723255813954,2.5,2.75,-0.447,2021
T12,"MacIntyre, Robert",-2,0.0,0.909,0.851,-0.598,0.315,0.568,1.477,298.175,0.6785749999999999,0.625,45.195078181818175,70.84013636363636,0.6000005714285714,4.25,4.0,-0.283,2021
T18,"Scheffler, Scottie",-1,-1.0,-0.58,0.317,0.854,0.635,1.807,1.227,306.875,0.6607175,0.680555,34.546501785714284,58.60698000000001,0.5882355882352941,3.5,3.5,1.489,2021
T18,"Morikawa, Collin",-1,-2.0,-0.143,0.147,0.612,0.611,1.37,1.227,293.725,0.80357,0.7083325,36.05566851851852,73.102925,0.4571425714285714,3.5,5.0,1.223,2021
T18,"Hatton, Tyrrell",-1,-4.0,0.014,1.038,0.242,-0.066,1.213,1.227,293.7,0.6607175,0.569445,37.88534237288136,76.40495384615384,0.6571457142857142,3.0,4.5,0.175,2021
T21,"Thomas, Justin",0,1.0,-0.257,1.223,0.223,-0.213,1.234,0.977,307.675,0.5535725,0.6666675,34.45714782608695,75.5024,0.63889,4.0,4.0,0.01,2021
T21,"Mickelson, Phil",0,0.0,-0.85,0.69,0.707,0.429,1.827,0.977,297.45,0.6785725,0.6666675,30.49167346938776,73.23920666666666,0.606060909,3.0,4.25,1.136,2021
T21,"English, Harris",0,-2.0,0.758,0.036,0.035,0.147,0.219,0.977,296.875,0.7678575,0.6250025,39.84394761904762,49.84125714285714,0.6176467647058823,2.0,3.25,0.182,2021
T21,"Lowry, Shane",0,0.0,0.106,-0.224,1.487,-0.392,0.871,0.977,301.00701754385966,0.625,0.6805574999999999,30.070619298245614,92.86273076923077,0.6296292592592592,4.0,3.75,1.095,2021
T21,"Hovland, Viktor",0,1.0,0.218,0.265,-0.789,1.283,0.759,0.977,302.9,0.767855,0.583335,42.93322181818181,63.75370833333333,0.5531923404255319,4.0,5.75,0.494,2021
T26,"Oosthuizen, Louis",1,-1.0,0.454,0.081,0.368,-0.175,0.273,0.727,285.475,0.7499975,0.6666675,35.605358064516125,80.26783333333333,0.5925925925925926,3.25,2.75,0.192,2021
T26,"Watson, Bubba",1,0.0,-0.433,-0.437,0.65,0.947,1.16,0.727,302.40000000000003,0.6964275,0.680555,36.820075,49.973175,0.5294111764705882,3.5,3.25,1.597,2021
T26,"Poulter, Ian",1,-2.0,1.588,0.289,-0.607,-0.543,-0.861,0.727,277.42499999999995,0.75,0.4861075,37.91177966101695,70.0398,0.6829287804878048,4.0,2.5,-1.15,2021
T26,"Casey, Paul",1,-3.0,-0.572,0.594,1.064,-0.36,1.299,0.727,299.325,0.5892875,0.63889,32.403778181818176,70.76427692307692,0.566668,4.5,5.25,0.704,2021
T26,"Jones, Matt",1,0.0,0.3,-0.109,0.459,0.077,0.427,0.727,304.05,0.6250025,0.6527775,40.616019607843135,72.10198235294118,0.5675664864864864,3.75,4.0,0.536,2021
T26,"Ancer, Abraham",1,-2.0,0.361,-0.902,0.855,0.413,0.366,0.727,288.775,0.8214275,0.625,33.42387258064516,64.57985714285714,0.540541892,2.75,3.25,1.268,2021
T26,"Schwartzel, Charl",1,0.0,0.159,-0.84,0.742,0.666,0.568,0.727,295.75,0.80357,0.6805574999999999,36.32286885245902,81.34127,0.5588258823529412,2.0,3.25,1.408,2021
T26,"Champ, Cameron",1,0.0,-0.503,-0.09,-0.121,1.441,1.23,0.727,318.775,0.7142850000000001,0.6250025,37.24633448275862,67.034425,0.5428571428571428,6.0,3.5,1.32,2021
